SMILES,logP,logD,logS,pKa_total,pKa_acid,pKa_base,Caco2_r,hPPB,rPPB,CYP1A2i_r,CYP2C9i_r,CYP2C19i_r,CYP3A4i_r,CYP2D6i_r,hCLint,MkCLint,dCLint,rCLint,mCLint,VDss,rCLtot,hCLtot
CCN(C=Nc1ccn(C2CCC(CO)O2)c(=O)n1)CC,-0.059999999,,,,,,,,,,,,,,,,,,,,,
Cc1[nH]cnc1CSCCNc1cc(=O)cc[nH]1,0.80000001,0.8,,,,,,,,,,,,,,,,,,,,
CN1CC(O)C(O)C(O)C1CO,-2.4000001,,,,,,,,,,,,,,,,,,,,,
CCCCCCCCCCCCNCl,1.85,,,,,,,,,,,,,,,,,,,,,
CN(SN(C)C(=O)c1ccc(Cl)cc1)C(=O)Oc1cccc2c1OC(C)(C)C2,4,,,,,,,,,,,,,,,,,,,,,
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.61,1.438333333,-3.09,,,,,,,,,,,,,,,,,-0.420216403,,
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,4.0999999,3.57,-4.47,,,,,,,,,,,,,,,,,,,
CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,4.3899999,,,,,,,,,,,,,,,,,,,,,
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,4.0100002,3.865,-4.83,,,,-4.7351823,,,,,,,,,,,,,0.079181246,,
CC1=CN2C(=O)C3CCCC3=NC2CC1,1.22,,,,,,,,,,,,,,,,,,,,,
CNCCN(C)CCN,-0.92000002,,,,,,,,,,,,,,,,,,,,,
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.4400001,1.97475,-2.812,,,,,,,,,,,,,,,,,0.462397998,,
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.4400001,1.97475,-2.812,,,,,,,,,,,,,,,,,0.255272505,,
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,5.4000001,,-6.2908,,,,,,,,,,,,,,,,,,,
CCOC(=O)CN1C(=O)C=CC1=O,0.49000001,,,,,,,,,,,,,,,,,,,,,
CC(C)C(=O)NC(=O)C1CCC1,0.25999999,,,,,,,,,,,,,,,,,,,,,
Cc1[nH]nc(C(=O)NC2CC2)c1[N+](=O)[O-],0.25,,,,,,,,,,,,,,,,,,,,,
N#[N+][N-]C1C(CO)OC(n2cnc3c(N)ncnc32)C1[N-][N+]#N,0.80000001,,,,,,,,,,,,,,,,,,,,,
COc1ccc(Cc2cccc(-c3c(O)[nH]c4cc(Cl)ccc4c3=O)c2)cc1,4.8000002,3.47,,,,,,,,,,,,,,,,,,,,
Nc1ccn(C2CCC(CO)O2)c(=O)n1,-1.3,,-0.43,,,,,,,,,,,,,,,,,-0.26760624,,
NNC(=O)Nc1cccc(O)c1,-0.5,,,,,,,,,,,,,,,,,,,,,
CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CCl,2.48,,,,,,,,,,,,,,,,,,,,,
[C-2][N+2]([C-2])(C)(I)[C-2]CCC,-2.5999999,,,,,,,,,,,,,,,,,,,,,
c1cnc2[nH]cnc2c1,0.30000001,0.41,,11.08,,,,,,,,,,,,,,,,,,
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,-0.95999998,,-2.2479999,,,,,,,,,,,,,,,,,,,
CC(C)C(=O)OCC1OC(n2cc(I)c(=O)[nH]c2=O)CC1O,0.82999998,,-2.76,,,,,,,,,,,,,,,,,,,
CCCCCC=CCC=CCCCCCCCC(=O)OC,6.8200002,,,,,,,,,,,,,,,,,,,,,
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,6.5,,-7.3319998,,,,,,,,,,,,,,,,,,,
O=CC(NC(=O)N(CCCl)N=O)[C@@H](O)[C@H](O)[C@H](O)CO,-1.02,,,,,,,,,,,,,,,,,,,,,
COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,2.5,,,,,,,,,,,,,,,,,,,,,
[C-2][N+2]([C-2])(C)(Br)[C-2]c1cccc(C)c1,-1.99,,,,,,,,,,,,,,,,,,,,,
O=c1[nH]cc(CO)c(=O)[nH]1,-1.9400001,,,,,,,,,,,,,,,,,,,,,
ClC=C1C2CC(C(Cl)C2(Cl)Cl)C1(CCl)C(Cl)Cl,5.4400001,,,,,,,,,,,,,,,,,,,,,
ONC=C1N(CO[CH-]c2ccccc2)C=C[N+]1(Cl)Cc1ccccc1,0.37,,,,,,,,,,,,,,,,,,,,,
Nc1ccc2c(c1)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,0.54000002,,,,,,,,,,,,,,,,,,,,,
CCCn1c(=O)n(C)c(=O)c2[nH]cnc21,1.02,,,,,,,,,,,,,,,,,,,,,
[C-2][N+2]([C-2])(C)(Br)[C-2]C1CCCC1C,-1.5,,,,,,,,,,,,,,,,,,,,,
Cc1cn(C2CC([N-][N+]#N)C(COC(=O)CCNC(=O)C34CC5CC(CC(C5)C3)C4)O2)c(=O)[nH]c1=O,2.1400001,,,,,,,,,,,,,,,,,,,,,
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CC=C(CO)CC21,7.4400001,,,,,,,,,,,,,,,,,,,0.704150517,,
Cc1n[nH]c(SCc2ccccc2)n1,1.6799999,,,,,,,,,,,,,,,,,,,,,
CCN(CCCN1C=[C-][N+](C)(Cl)C1=CNO)S(=O)(=O)c1ccccc1,-1.27,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1cccc(OCC(O)CNC(C)C)c1,0.74000001,,,,,,,,,,,,,,,,,,,,,
CC(C)NC(=O)C=NC(=O)C[NH+]=N,-0.41,,,,,,,,,,,,,,,,,,,,,
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,1.3,1.12,-0.94,,,,,,,,,,,,,,,,,0.785329835,,
CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.2,,,,,,,,,,,,,,,,,,,-0.522878745,,
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(CON=C(c2ccc(Cl)cc2)C2CC2)cc1,6.9699998,,,,,,,,,,,,,,,,,,,,,
Clc1cnc2ccccc2n1,2.23,,,,,,,,,,,,,,,,,,,,,
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46O,1.8200001,,,,,,,,,,,,,,,,,,,,,
CCCCCCCCN(C)N=Nc1ccc(C(N)=O)cc1,4.6999998,,,,,,,,,,,,,,,,,,,,,
NC(Cc1c[nH]c2cccc(F)c12)C(=O)O,-1.0700001,,,,,,,,,,,,,,,,,,,,,
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,2.1600001,,,,,,,,,,,,,,,,,,,-0.102372909,,
OCC(O)c1oc(O)c(O)c1O,-1.85,,0.28,4.13,,,,,,,,,,,,,,,,,,
NC(CCCCNC=O)C(=O)O,-2.8399999,,,,,,,,,,,,,,,,,,,,,
CC1COC(=Nc2ncc([N+](=O)[O-])s2)N1,1.34,,,,,,,,,,,,,,,,,,,,,
NC(=O)NCCN1CCc2cccc(Cl)c2CC1,2.0699999,,,,,,,,,,,,,,,,,,,,,
CC1=CCCC2N=C3CCCC3C(=O)N12,1.2,,,,,,,,,,,,,,,,,,,,,
CS(=O)(=O)CCNCc1cc2cc(S(N)(=O)=O)sc2s1,-0.25999999,,,,,,,,,,,,,,,,,,,,,
O=C(c1ccc(Cl)cc1)c1ccccn1,2.6099999,,,,,,,,,,,,,,,,,,,,,
CNC(=O)C=NC(=O)C[NH+]=N,-0.87,,,,,,,,,,,,,,,,,,,,,
CC(=O)OC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.4000001,,,,,,,,,,,,,,,,,,,,,
CCC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.6500001,,,,,,,,,,,,,,,,,,,,,
CC(Cl)C(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1,0.98000002,,,,,,,,,,,,,,,,,,,,,
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,2.0899999,,-2.81,,,,,,,,,,,,,,,,,-0.387216143,,
Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,-2.96,,,,,,,,,,,,,,,,,,,,,
Nc1nc(Cl)c2ncn(C3CCC(CO)O3)c2n1,0.20999999,,,,,,,,,,,,,,,,,,,,,
CC(=O)Oc1ccc(C(O)(Cn2ccnc2)c2ccc(-c3ccncc3)cc2)cc1,2.6099999,,,,,,,,,,,,,,,,,,,,,
CON(C)N=Nc1ccc(C(N)=O)cc1,1.1900001,,,,,,,,,,,,,,,,,,,,,
CC(CCN1C=[C-][N+](C)(Cl)C1=CNO)C(C)(C)[N+](=O)[O-],-1.61,,,,,,,,,,,,,,,,,,,,,
CC(C)(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.76,,,,,,,,,,,,,,,,,,,,,
N#CCCCCOC(=O)c1ccccc1,2.04,,,,,,,,,,,,,,,,,,,,,
O=C1NC(Cc2c[nH]c3ccccc23)C(=O)NC1Cc1ccc(O)cc1,1.05,,,,,,,,,,,,,,,,,,,,,
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,0.23999999,,-1.84,,,,,,,,,,,,,,,,,,,
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.62,1.6,-3.18,,,,,,,,,,,,,,,,,-0.065501549,,
C=CC=CC,2.4000001,,,,,,,,,,,,,,,,,,,,,
CC(OCN1C=[C-][N+](C)(Cl)C1=CNO)C(C)(C)C,-0.68000001,,,,,,,,,,,,,,,,,,,,,
Nc1nc(N)nc(-c2cc(C(F)(F)F)ccc2Cl)n1,2.27,,,,,,,,,,,,,,,,,,,,,
O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,-2.0999999,,-1.23,,,,,,,,,,,,,,,,,,,
CCC(C)NC(=O)C=C(Br)c1ccc(Cl)cc1,3.9000001,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)C(C)(C)OCN1C=[C-][N+](C)(Cl)C1=CNO,-0.25,,,,,,,,,,,,,,,,,,,,,
CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)C(C)(C)C,2.4000001,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1cc(O)n(-c2ccc(Cl)cc2)c1O,0.75,,,,,,,,,,,,,,,,,,,,,
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,2.8199999,,-3.07,,,,,,,,,,,,,,,,,,,
O=C(Cn1cnc(I)c1[N+](=O)[O-])NCc1ccc[n+]([O-])c1,-1.4,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC=CC#CC#Cc1ccccc1,3.8800001,,,,,,,,,,,,,,,,,,,,,
CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,4.6399999,,,,,,,,,,,,,,,,,,,0.531478917,,
COC(=O)C1C(C=C(C)C)C1(C)C,3.76,,,,,,,,,,,,,,,,,,,,,
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C,3.28,,,,,,,,,,,,,,,,,,,,,
OC1(c2ccc(Cl)cc2)CCN(CCCSc2ccc(F)cc2)CC1,4.1700001,,,,,,,,,,,,,,,,,,,,,
Cc1[nH]c2cccc3c2c1CC1NCC(C(=O)NC2(C(C)C)OC4(O)C5CCCN5C(=O)C(C(C)C)N4C2=O)C=C31,3.1500001,,,,,,,,,,,,,,,,,,,,,
CN(C)N=Nc1cc(C(N)=O)cc(C(N)=O)c1,0.22,,,,,,,,,,,,,,,,,,,,,
Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,-0.72000003,,,,,,,,,,,,,,,,,,,-0.173925197,,
COC1C(OC(C)=O)CC(=O)OC(C)CC2OC2C=CC(=O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,3.04,,,,,,,,,,,,,,,,,,,,,
NNC(=O)Nc1ccccc1Cl,0.44999999,,,,,,,,,,,,,,,,,,,,,
CC(c1ccccc1)c1ccccc1,4.8000002,,-4.692503939,,,,,,,,,,,,,,,,,,,
ClC(=Cn1ccnc1)c1ccc(Cl)cc1Cl,4.0700002,,,,,,,,,,,,,,,,,,,,,
COc1ccc2c3c1OC1C(=O)CCC4([O-])C(C2)[N+](C)(Cl)CCC314,-0.15000001,,,,,,,,,,,,,,,,,,,,,
O=c1ccn(C2C=CC(CO)O2)c(=O)[nH]1,-1.0700001,,,,,,,,,,,,,,,,,,,,,
O=C(O)CNCP(=O)(O)O,-4,,-1.207,,,,,,,,,,,,,,,,,,,
CC(=O)N(C)c1ccccc1C(=O)O,1.85,,,,,,,,,,,,,,,,,,,,,
O=c1[nH]c(=S)ccn1C1C=CC(CO)O1,-0.28,,,,,,,,,,,,,,,,,,,,,
[C-2][N+2]([C-2])(C)(I)[C-2]c1ccc(C)o1,-1.85,,,,,,,,,,,,,,,,,,,,,
Nc1nc(=S)c2ncn(C3CC(O)C(CO)O3)c2[nH]1,-0.56,,,,,,,,,,,,,,,,,,,,,
N#CN=[N+]([O-])c1cccc(F)c1,1.85,,,,,,,,,,,,,,,,,,,,,
COC(=O)C=C(C)OP(=O)(OC)OC,0.13,,,,,,,,,,,,,,,,,,,,,
CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,2.9000001,,,,,,-4.5195165,,,,,,,,,,,,,,,
CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1)n1cncn1,3.6700001,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1ccc(C=Cc2nc[nH]n2)o1,1.1,,,,,,,,,,,,,,,,,,,,,
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,-3.7,0.0007,0.79,,,,,,,,,,,,,,,,,,,
C=CCNC(=O)NN,-1.55,,,,,,,,,,,,,,,,,,,,,
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,1.83,-0.09,-1.91,,,,,,,,,,,,,,,,,0.51851394,,
ClNCCCCc1ccncc1,-1.67,,,,,,,,,,,,,,,,,,,,,
CCCCCCCCCC[N+]1(I)C=C[C-]=CC1C,0.16,,,,,,,,,,,,,,,,,,,,,
CCCCCCCCCC[N+]1(I)C=CC(C)=[C-]C1C,0.54000002,,,,,,,,,,,,,,,,,,,,,
CCCNC(=O)NN,-1.1,,,,,,,,,,,,,,,,,,,,,
CC(C)NNC(=O)C(C)(C)Oc1ccccc1,1.88,,,,,,,,,,,,,,,,,,,,,
NNC(N)=O,-2.75,,,,,,,,,,,,,,,,,,,,,
Nc1ccn(C2C=C(CO)C(O)C2O)c(=O)n1,-2.45,,,,,,,,,,,,,,,,,,,,,
COCN1C=[C-][N+](Cl)(Cc2ccccc2)C1=CNO,-1.1900001,,,,,,,,,,,,,,,,,,,,,
CON=Cc1ccccc1,2.53,,,,,,,,,,,,,,,,,,,,,
CC(C)OC(=O)C1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,2.8199999,,,,,,,,,,,,,,,,,,,,,
COC(=O)c1ccc2[nH]ccc2c1,2.5799999,,,,,,,,,,,,,,,,,,,,,
Cc1nc[nH]n1,-0.55000001,,,,,,,,,,,,,,,,,,,,,
CC(=O)SC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,2.78,,-4.28,,,,,,,,,,,,,,,,,,,
CCCCCCCCCCCCCC[N+]1(I)C=CC(C)=[C-]C1C,2.47,,,,,,,,,,,,,,,,,,,,,
[C-2][N+2]([C-2])(C)(I)[C-2]c1ccc(CC)o1,-1.38,,,,,,,,,,,,,,,,,,,,,
COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1O,0.14,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCCNc1ccc(-c2ccncc2)cn1,2.4200001,,,,,,,,,,,,,,,,,,,,,
Nc1ccn(C2CSC(CO)O2)c(=O)n1,-0.93000001,,,,,,,,,,,,,,,,,,,0.113943352,,
CCOC(=O)Nc1ccc2nn(C)nc2c1,1.83,,,,,,,,,,,,,,,,,,,,,
CN1C(=O)CN=C(c2ccccc2Cl)c2cc(Cl)ccc21,3.1199999,,,,,,,,,,,,,,,,,,,,,
CC(=O)NC(CC(C)C)C(N)=O,-0.13,,,,,,,,,,,,,,,,,,,,,
C[C-2][N+2](Br)([C-2]C)([C-2]C)CC,-2.8199999,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1c(I)c(C(=O)NC2C(O)OC(CO)C(O)C2O)c(I)c(N(C)C(C)=O)c1I,-1.3200001,,,,,,,,,,,,,,,,,,,,,
S=C(NN=Cc1ccc[nH]1)Nc1ccccc1,3.73,,,,,,,,,,,,,,,,,,,,,
CC(CC(N)=O)n1nc2ccccc2n1,1,,,,,,,,,,,,,,,,,,,,,
CNC(=O)Oc1cccc(C(C)=O)c1,0.89999998,,,,,,,,,,,,,,,,,,,,,
CC(C)C(=O)Nc1ccc(S(=O)(=O)C(F)(F)F)cc1[N+](=O)[O-],3.0999999,,,,,,,,,,,,,,,,,,,,,
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(=O)C(C)(C)C,3.8599999,,,,,,,,,,,,,,,,,,,,,
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.35,,-1.99,,,,,,,,,,,,,,,,,-0.657577319,,
Brc1cccc(-c2cc3ccccn3c2)c1,5.3099999,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,2.77,,-4.9,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1cc([N+](=O)[O-])c2[nH]ncc2c1,1.6,,,,,,,,,,,,,,,,,,,,,
C1CCCCCC2OC2CCCC1,4.6999998,,,,,,,,,,,,,,,,,,,,,
CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(O)C(N(C)C)C2O)C(CCN2CC(C)CC(C)C2)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1OC,3.8,0.79,,,,,,,,,,,,,,,,,,,,
CCc1c(NS(=O)(=O)c2ccc(N)cc2)ncnc1OC,1,,,,,,,,,,,,,,,,,,,,,
COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC21,-0.02,,,,,,,,,,,,,,,,,,,-0.769551079,,
CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,1.37,1.37,,,,,,,,,,,,,,,,,,,,
COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,6.4000001,,,,,,,,,,,,,,,,,,,,,
O=CNc1ccc2[nH]ccc2c1,1.0700001,,,,,,,,,,,,,,,,,,,,,
OC(CNCC(O)COc1cccc2ccccc12)COc1ccccc1,3.8699999,,,,,,,,,,,,,,,,,,,,,
N#[N+][N-]C1CC(n2cnc3c(N)nc(N)nc32)OC1CO,0.23999999,,,,,,,,,,,,,,,,,,,,,
Nc1ccc(S(=O)(=O)Nc2ncccc2Br)cc1,1.24,,,,,,,,,,,,,,,,,,,,,
CC(Br)C(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1,1.13,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)C(Cc1ccccc1)C(C)=O,2.52,,,11.81,,,,,,,,,,,,,,,,,,
COc1cccc2c(O)c3c(c(N)c12)C(=O)C1=C(C[C@@](O)(C(=O)CO)C[C@@H]1O[C@H]1C[C@H](N2CCOC[C@H]2C#N)[C@H](O)[C@H](C)O1)C3=O,1.97,,,,,,,,,,,,,,,,,,,,,
CC[C-2][N+2](C)(I)([C-2]CC)[C-2]CC,-0.98000002,,,,,,,,,,,,,,,,,,,,,
CCC[S+]([O-])c1ccc2[nH]c(NC(=O)OC)nc2c1,1.27,,,,,,,,,,,,,,,,,,,,,
CCC(C)NC(=O)C(Cc1ccccc1)=NC(=O)c1ccccc1,2.47,,,,,,,,,,,,,,,,,,,,,
CCCCNC(=O)c1[nH]nc(C)c1[N+](=O)[O-],1.27,,,,,,,,,,,,,,,,,,,,,
Nc1nc(=O)c2ncn(C3CC(F)C(CO)O3)c2[nH]1,-0.66000003,,,,,,,,,,,,,,,,,,,,,
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)C(O)C([N-][N+]#N)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,1.79,,,,,,,,,,,,,,,,,,,,,
CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)C(=O)C3(O)C(=O)C1C2=O,0.050000001,,-0.94400001,,,,,,,,,,,,,,,,,,,
CC(CF)NCC(O)COc1cccc2[nH]c3ccccc3c12,2.8099999,2.48,,,,,,,,,,,,,,,,,,,,
C#CCC(O)(c1ccc(C)cc1)c1cccnc1,1.83,,,,,,,,,,,,,,,,,,,,,
O=c1[nH]c(=O)n(C2CCC(CO)O2)cc1I,-0.61000001,,,,,,,,,,,,,,,,,,,,,
Cc1cn(C2CC(F)C(CO)O2)c(=O)[nH]c1=O,-0.28,,,,,,,,,,,,,,,,,,,,,
COc1cccc(NC(=O)NN)c1,0.17,,,,,,,,,,,,,,,,,,,,,
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,3.3199999,3.3,-4.02,,,,,,,,,,,,,,,,,-0.455931956,,
CCCn1c(=O)c2[nH]c(-c3ccc(S(=O)(=O)NCCN(C)C)cc3)nc2n(CCC)c1=O,3.3199999,,,,,,,,,,,,,,,,,,,,,
CCC(C)NC(=O)C=C(c1ccccc1)c1ccc(Cl)cc1,4.46,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1nc[nH]n1,-0.33000001,,,,,,,,,,,,,,,,,,,,,
O=c1[nH]c(Nc2ccccc2)nc2[nH]cnc12,1.35,,-4.12,,,,,,,,,,,,,,,,,,,
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1.26,,-4.16,,,,,,,,,,,,,,,,,0.612783857,,
N#CC=Cc1ccccc1,1.96,,,,,,,,,,,,,,,,,,,,,
CN(C)OC(=O)COc1ccc(Cl)cc1Cl,0.64999998,,,,,,,,,,,,,,,,,,,,,
CC1OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(O)CC43O)C2)CC(O)C1O,1.77,,,,,,,,,,,,,,,,,,,,,
Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=S,0.090000004,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)C(C)(C)n1nc2ccccc2n1,2.98,,,,,,,,,,,,,,,,,,,,,
N=C1C[N+]([O-])=C(c2ccccc2)c2cc(Cl)ccc2N1,2.1300001,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)C(=Cc1ccccc1Cl)C(C)=O,2.8399999,,,,,,,,,,,,,,,,,,,,,
CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)CC(O)C1O,0.30000001,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(NC(=O)c2[nH]nc(C)c2[N+](=O)[O-])cc1,2.3399999,,,,,,,,,,,,,,,,,,,,,
CCC(C)C(C)OCN1C=[C-][N+](C)(Cl)C1C=NO,-0.75999999,,,,,,,,,,,,,,,,,,,,,
CCCCCCCCC=CCCCCCCCC(=O)OC,7.4499998,,,,,,,,,,,,,,,,,,,,,
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2O,4.1599998,,,,,,,,,,,,,,,,,,,,,
Nc1nc(N)c2ncn(C3CCC(CO)O3)c2n1,-0.46000001,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)C(NC(=O)CCCCSc1ncnc2[nH]cnc12)c1ccccc1,1.13,,,,,,,,,,,,,,,,,,,,,
Nc1ncnc2c1ncn2C1CCC(CO)O1,-0.25,,,,,,,,,,,,,,,,,,,,,
c1ccc2c(c1)nnn2C12CC3CC(CC(C3)C1)C2,3.52,,,,,,,,,,,,,,,,,,,,,
COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(CC(O)(C(=O)CO)CC1OC1CC(N)C(O)C(C)O1)C3=O,1.27,,,,,,,,,,,,,,,,,,,,,
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,6.3000002,,,,,,,,,,,,,,,,,,,,,
C=c1c(N)c(O)c2c(c1O)N1CC3NC3C1(OC)C=2COC(N)=O,-0.40000001,,-2.56,,,,,,,,,,,,,,,,,,,
CC(=O)NC(CC(C)C)(CC(C)C)C(N)=O,1.87,,,,,,,,,,,,,,,,,,,,,
Cc1[nH]nc(C(=O)NC2CCCC2)c1[N+](=O)[O-],1.24,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)CCCn1nc2ccccc2n1,2.4100001,,,,,,,,,,,,,,,,,,,,,
Cc1cc(C(=O)O)on1,0.68000001,,,,,,,,,,,,,,,,,,,,,
CCOP(C)(=O)SCC,0.70999998,,,,,,,,,,,,,,,,,,,,,
CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21,5.1799998,3.42,,,,,,,,,,,,,,,,,,1.136720567,,
O=[N+]([O-])OC1COC2C(O)COC12,-0.15000001,,,,,,,,,,,,,,,,,,,-0.065501549,,
O=[N+]([O-])OC1COC2C(O)COC12,-0.15000001,,,,,,,,,,,,,,,,,,,-0.15490196,,
Nc1nc(=O)n(C2CCC(CO)O2)cc1F,-1.09,,,,,,,,,,,,,,,,,,,,,
[C-2][N+2]([C-2])(C)(I)[C-2]CCCCC,-1.84,,,,,,,,,,,,,,,,,,,,,
[C-2][N+2]([C-2])(C)(I)[C-2]C1C=C(C)CC1,-1.85,,,,,,,,,,,,,,,,,,,,,
C=CCNc1cc(-c2n[nH]c(N)n2)ccn1,1.26,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(-n2c(O)ccc2O)cc1,0.57999998,,,,,,,,,,,,,,,,,,,,,
Cn1c(N)c2ncn(Cc3ccccc3)c2nc1=O,0.64999998,,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1COC1CC2(C(C)C)CCC1(C)O2,4.6199999,,-3.6389999,,,,,,,,,,,,,,,,,,,
COCC(O)Cn1cnc([N+](=O)[O-])c1I,0.41,,,,,,,,,,,,,,,,,,,,,
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,3.0599999,-0.353333333,-1.27,,,,,,,,,,,,,,,,,-0.022276395,,
CC(N)C(O)c1cccc(O)c1,-0.27000001,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC1OC(n2ncc(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O,-0.2,,,,,,,,,,,,,,,,,,,,,
[O-][N+](=Cc1c(Cl)cccc1Cl)c1ccccc1,2.1600001,,,,,,,,,,,,,,,,,,,,,
